,NO OF ITERATIONS,COST,BIAS HISTORY,WEIGHT_HISTORY
24,2400,0.03875444664170948,0.112269842527439,"[ 0.14676933  0.14801466  0.13345425  0.31006828  0.21560962 -1.14656062
  1.18761244  1.4055442  -0.21488562 -0.26020271  1.92884254 -0.50428394
  0.6814896   1.58989638  0.45753769 -0.80480634 -0.30383893  0.51847221
 -0.35273851 -1.08552031  1.4575606   1.95368774  1.04925797  1.49640189
  0.6390771  -0.20547931  1.16548463  1.13314501  1.12525916  0.86460792]"
25,2500,0.03865119111107645,0.11598029811709783,"[ 0.14041249  0.14404671  0.12761707  0.30559928  0.21805853 -1.15557109
  1.19297933  1.41108811 -0.21421346 -0.25743671  1.9337539  -0.50832118
  0.67326573  1.5984635   0.45984485 -0.79755251 -0.30982042  0.5229277
 -0.35321776 -1.09455609  1.46403137  1.96008899  1.05212055  1.50542728
  0.63416626 -0.20880757  1.16764181  1.13002578  1.12453962  0.87073444]"
26,2600,0.03855652716651016,0.11932968158119049,"[ 0.13450487  0.1405734   0.12221762  0.30147662  0.22036438 -1.16383962
  1.19796793  1.41605934 -0.21355297 -0.25488039  1.93810782 -0.51192943
  0.66550086  1.60638157  0.46192858 -0.79072605 -0.31538749  0.52720128
 -0.35371538 -1.1030872   1.47003844  1.96573356  1.05484418  1.51388909
  0.62966136 -0.21190227  1.16963307  1.12694617  1.12387536  0.87643716]"
27,2700,0.03846964391172468,0.1223580743623272,"[ 0.12901096  0.13753621  0.11721963  0.29767099  0.22253222 -1.17143428
  1.20260926  1.42051851 -0.21291251 -0.2525183   1.94196832 -0.51515108
  0.65817756  1.6137053   0.46381004 -0.78430754 -0.32057296  0.53129898
 -0.35422399 -1.11113694  1.47561753  1.97070644  1.05743579  1.5218243
  0.62552849 -0.21478266  1.17147256  1.1239227   1.12326598  0.88175313]"
28,2800,0.03838982030448094,0.12510042135317181,"[ 0.12389838  0.13488349  0.11259013  0.29415576  0.22456774 -1.17841604
  1.20693134  1.42451967 -0.21229781 -0.25033615  1.94539149 -0.51802485
  0.65127729  1.62048405  0.46550834 -0.77827694 -0.3254065   0.53522624
 -0.35473746 -1.1187282   1.48080122  1.97508333  1.05990177  1.5292672
  0.62173648 -0.21746614  1.17317293  1.12096827  1.12270991  0.88671483]"
29,2900,0.03831641313066174,0.12758730156714151,"[ 0.11913763  0.1325697   0.10829915  0.29090675  0.22647709 -1.18483965
  1.21095951  1.428111   -0.21171262 -0.24832073  1.94842658 -0.520586
  0.6447809   1.62676246  0.46704072 -0.77261409 -0.32991501  0.53898811
 -0.35525077 -1.12588336  1.48561935  1.97893153  1.06224808  1.53624967
  0.61825675 -0.21996843  1.17474552  1.11809278  1.1222048   0.89135093]"
30,3000,0.038248846931592875,0.1298455638667392,"[ 0.11470175  0.13055458  0.10431941  0.287902    0.2282666  -1.19075432
  1.21471676  1.4313355  -0.21115916 -0.24645972  1.95111695 -0.52286653
  0.63866903  1.632581    0.46842279 -0.76729903 -0.33412288  0.5425894
 -0.35575985 -1.13262422  1.49009922  1.98231098  1.06448027  1.54280134
  0.61506306 -0.22230377  1.17620057  1.11530361  1.12174781  0.89568686]"
31,3100,0.03818660550817801,0.13189885456207587,"[ 0.11056612  0.12880261  0.10062607  0.28512151  0.22994268 -1.1962044
  1.21822395  1.43423151 -0.21063849 -0.24474172  1.95350088 -0.52489544
  0.63292239  1.63797646  0.46966871 -0.76231224 -0.33805236  0.54603474
 -0.35626143 -1.13897194  1.49426592  1.98527497  1.0666036   1.54894978
  0.61213138 -0.22448507  1.17754735  1.11260608  1.12133583  0.89974534]"
32,3200,0.03812922470881987,0.1337680578754778,"[ 0.10670822  0.12728238  0.09719647  0.28254709  0.23151167 -1.20122991
  1.22150006  1.4368333  -0.21015083 -0.24315608  1.95561221 -0.52669894
  0.62752196  1.64298227  0.47079132 -0.75763482 -0.34172373  0.54932872
 -0.35675291 -1.14494698  1.4981425   1.98787093  1.06862306  1.55472072
  0.60943968 -0.22652403  1.17879428  1.11000381  1.12096565  0.90354676]"
33,3300,0.03807628627074813,0.13547166578397665,"[ 0.10310743  0.12596614  0.09400994  0.28016215  0.23297978 -1.20586701
  1.22456238  1.43917145 -0.20969578 -0.24169292  1.9574809  -0.52830069
  0.6224492   1.64762896  0.47180224 -0.75324857 -0.34515553  0.55247584
 -0.35723228 -1.15056909  1.50175019  1.99014103  1.07054337  1.56013811
  0.60696778 -0.22843132  1.17994905  1.10749901  1.12063404  0.90710952]"
34,3400,0.0380274125320022,0.13702609028540882,"[ 0.09974485  0.12482935  0.0910476   0.27795159  0.23435302 -1.21014844
  1.22742667  1.44127329 -0.20927245 -0.24034303  1.95913355 -0.52972202
  0.6176861   1.65194436  0.47271207 -0.74913608 -0.34836475  0.55548062
 -0.35769801 -1.15585728  1.50510853  1.99212277  1.07236903  1.56522432
  0.60469723 -0.23021664  1.18101869  1.10509271  1.12033782  0.91045028]"
35,3500,0.03798226186789889,0.13844592844609463,"[ 0.09660317  0.12385034  0.0882922   0.27590159  0.23563719 -1.21410386
  1.23010733  1.44316323 -0.20887968 -0.23909786  1.96059377 -0.53098212
  0.61321529  1.65595393  0.47353039 -0.74528076 -0.351367    0.55834757
 -0.35814894 -1.16082977  1.50823555  1.9938495   1.07410437  1.57000021
  0.60261112 -0.23188884  1.18200964  1.10278504  1.12007397  0.91358422]"
36,3600,0.0379405247341867,0.1397441884963785,"[ 0.09366646  0.12300993  0.08572795  0.27399958  0.23683781 -1.2177602
  1.23261755  1.44486312 -0.20851608 -0.23794945  1.96188257 -0.53209825
  0.6090201   1.65968097  0.47426593 -0.74166688 -0.3541766   0.56108119
 -0.3585843  -1.16550404  1.51114787  1.99535086  1.0757535   1.57448528
  0.600694   -0.23345601  1.1829278   1.10057534  1.11983958  0.91652523]"
37,3700,0.03790192022127965,0.14093248360615115,"[ 0.0909201   0.12229117  0.08334041  0.27223404  0.23796015 -1.22114193
  1.23496939  1.44639249 -0.20818011 -0.2368904   1.96301867 -0.53308589
  0.60508458  1.66314682  0.47492661 -0.73827954 -0.35680679  0.563686
 -0.35900355 -1.16989679  1.51386087  1.99665318  1.07732036  1.57869775
  0.59893172 -0.23492554  1.18377863  1.09846236  1.11963195  0.91928602]"
38,3800,0.037866193041451855,0.14202119869046026,"[ 0.08835063  0.12167909  0.08111632  0.27059442  0.23900918 -1.22427131
  1.23717394  1.44776881 -0.20787019 -0.23591387  1.96401871 -0.53395895
  0.60139351  1.66637109  0.47551961 -0.73510466 -0.35926974  0.56616651
 -0.35940639 -1.17402394  1.51638874  1.99777986  1.07880873  1.58265464
  0.59731133 -0.23630422  1.18456712  1.09644433  1.11944854  0.92187831]"
